"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"HAE","Haemonetics Corp","Health Care","US Equity","Common stocks","Mid cap","$3,838,047,474","356,520","Analyze"
"ICUI","ICU Medical Inc","Health Care","US Equity","Common stocks","Mid cap","$3,686,131,507","209,442","Analyze"
"IRTC","Irhythm Technologies Inc","Health Care","US Equity","Common stocks","Mid cap","$3,602,686,945","424,154","Analyze"
"STAA","Staar Surgical","Health Care","US Equity","Common stocks","Mid cap","$3,062,045,022","683,485","Analyze"
"GKOS","Glaukos Corp","Health Care","US Equity","Common stocks","Mid cap","$2,308,220,653","507,915","Analyze"
"ATRC","Atricure Inc","Health Care","US Equity","Common stocks","Small cap","$1,768,654,311","382,827","Analyze"
"ATRI","Atrion Corp","Health Care","US Equity","Common stocks","Small cap","$1,131,309,246","8,064","Analyze"
"LMAT","Lemaitre Vascular Inc","Health Care","US Equity","Common stocks","Small cap","$1,105,528,119","119,653","Analyze"
"ATRS","Antares Pharma Inc","Health Care","US Equity","Common stocks","Small cap","$953,354,176","2,705,014","Analyze"
"WRBY","Warby Parker Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$948,268,651","1,573,148","Analyze"
"BLFS","Biolife Solutions Inc","Health Care","US Equity","Common stocks","Small cap","$920,324,191","330,507","Analyze"
"ANGO","Angiodynamics Inc","Health Care","US Equity","Common stocks","Small cap","$472,349,118","460,490","Analyze"
"OSUR","Orasure Technologies Inc","Health Care","US Equity","Common stocks","Small cap","$421,157,640","687,958","Analyze"
"UTMD","Utah Medical Products Inc","Health Care","US Equity","Common stocks","Small cap","$327,643,297","19,824","Analyze"
"AKYA","Akoya Biosciences, Inc.","Health Care","US Equity","Common stocks","Micro cap","$294,849,357","202,065","Analyze"
"IIN","Intricon Corp","Health Care","US Equity","Common stocks","Micro cap","$225,395,216","94,327","Analyze"
"MHUA","Meihua International Medical Technologies Co., Ltd.","Health Care","US Equity","Common stocks","Micro cap","$194,000,000","33,216","Analyze"
"KRMD","Repro Med Systems, Inc.","Health Care","US Equity","Common stocks","Micro cap","$183,442,231","25,482","Analyze"
"NYXH","Nyxoah SA","Health Care","US Equity","Common stocks","Micro cap","$180,148,565","35,255","Analyze"
"INFU","Infusystem Holdings Inc","Health Care","US Equity","Common stocks","Micro cap","$154,817,263","50,776","Analyze"
"ZTEK","Zentek Ltd.","Health Care","US Equity","Common stocks","Micro cap","$150,296,313","35,060","Analyze"
"STXS","Stereotaxis Inc","Health Care","US Equity","Common stocks","Micro cap","$141,085,510","206,318","Analyze"
"HBIO","Harvard Bioscience Inc","Health Care","US Equity","Common stocks","Micro cap","$134,164,337","79,339","Analyze"
"PLSE","Pulse Biosciences Inc","Health Care","US Equity","Common stocks","Micro cap","$111,684,600","39,807","Analyze"
"OMIC","Singular Genomics Systems, Inc.","Health Care","US Equity","Common stocks","Micro cap","$84,890,487","198,685","Analyze"
"MLSS","Milestone Scientific Inc","Health Care","US Equity","Common stocks","Micro cap","$62,821,415","160,320","Analyze"
"PDEX","Pro Dex Inc","Health Care","US Equity","Common stocks","Micro cap","$60,245,365","4,328","Analyze"
"RVP","Retractable Technologies Inc","Health Care","US Equity","Common stocks","Micro cap","$57,636,735","37,723","Analyze"
"ISR","Isoray Inc","Health Care","US Equity","Common stocks","Micro cap","$54,571,302","206,179","Analyze"
"POAI","Predictive Oncology Inc.","Health Care","US Equity","Common stocks","Micro cap","$23,630,599","403,279","Analyze"
"ECOR","Electrocore Inc.","Health Care","US Equity","Common stocks","Micro cap","$20,297,686","21,210","Analyze"
"EKSO","Ekso Bionics Inc","Health Care","US Equity","Common stocks","Micro cap","$19,319,354","26,162","Analyze"
"MBOT","Microbot Medical Inc","Health Care","US Equity","Common stocks","Micro cap","$16,633,031","24,696","Analyze"
"STSS","Sharps Technology Inc.","Health Care","US Equity","Common stocks","Micro cap","$14,919,598","59,429","Analyze"
"FEMY","Femasys Inc","Health Care","US Equity","Common stocks","Micro cap","$14,176,332","30,744","Analyze"
"NURO","Neurometrix Inc","Health Care","US Equity","Common stocks","Micro cap","$11,297,730","17,334","Analyze"
"NEPH","Nephros, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$10,370,412","14,319","Analyze"
"NXGL","NexGel, Inc","Health Care","US Equity","Common stocks","Micro cap","$9,194,186","21,689","Analyze"
"GCTK","GlucoTrack, Inc.","Health Care","US Equity","Common stocks","Micro cap","$6,403,000","39,826","Analyze"
