"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"SENS","Senseonics Holdings Inc","Health Care","US Equity","Common stocks","Small cap","$343,618,733","4,221,843","Analyze"
"BNGO","Bionano Genomics Inc","Health Care","US Equity","Common stocks","Small cap","$333,800,510","5,907,036","Analyze"
"NVTA","Invitae Corp","Health Care","US Equity","Common stocks","Small cap","$313,901,441","8,964,691","Analyze"
"BNR","Burning Rock Biotech Limited ADRs","Health Care","US Equity","ADRs","Micro cap","$257,299,225","151,176","Analyze"
"SRDX","Surmodics Inc","Health Care","US Equity","Common stocks","Micro cap","$241,961,250","510,066","Analyze"
"CELC","Celcuity Inc.","Health Care","US Equity","Common stocks","Micro cap","$217,972,535","128,340","Analyze"
"TTOO","T2 Biosystems Inc","Health Care","US Equity","Common stocks","Micro cap","$176,271,364","464,701","Analyze"
"LAB","Standard BioTools Inc.","Health Care","US Equity","Common stocks","Micro cap","$167,615,527","273,233","Analyze"
"ANIX","Anixa Biosciences Inc","Health Care","US Equity","Common stocks","Micro cap","$133,286,181","96,436","Analyze"
"BDSX","Biodesix, Inc.","Health Care","US Equity","Common stocks","Micro cap","$128,658,521","184,213","Analyze"
"PSNL","Personalis, Inc.","Health Care","US Equity","Common stocks","Micro cap","$126,656,809","428,441","Analyze"
"CHEK","Check-Cap Ltd.","Health Care","US Equity","Common stocks","Micro cap","$126,299,653","21,961","Analyze"
"SERA","Sera Prognostics, Inc.","Health Care","US Equity","Common stocks","Micro cap","$112,247,600","146,026","Analyze"
"DRIO","Dariohealth Corp.","Health Care","US Equity","Common stocks","Micro cap","$106,074,745","159,345","Analyze"
"ENZ","Enzo Biochem Inc","Health Care","US Equity","Common stocks","Micro cap","$105,781,809","2,693,898","Analyze"
"VNRX","Volitionrx Ltd","Health Care","US Equity","Common stocks","Micro cap","$102,216,761","132,744","Analyze"
"DMTK","DermTech, Inc.","Health Care","US Equity","Common stocks","Micro cap","$98,693,475","355,168","Analyze"
"RNLX","Renalytix AI PLC ADRs","Health Care","US Equity","ADRs","Micro cap","$93,312,571","68,304","Analyze"
"GTH","Genetron Holdings Limited ADRs","Health Care","US Equity","ADRs","Micro cap","$91,060,953","56,199","Analyze"
"MYNZ","Mainz Biomed B.V.","Health Care","US Equity","Common stocks","Micro cap","$90,146,292","53,258","Analyze"
"PRE","Prenetics Global Limited - Class A","Health Care","US Equity","Common stocks","Micro cap","$86,782,107","102,560","Analyze"
"LHDX","Lucira Health, Inc.","Health Care","US Equity","Common stocks","Micro cap","$84,918,848","103,762,977","Analyze"
"STIM","Neuronetics Inc","Health Care","US Equity","Common stocks","Micro cap","$79,758,966","474,424","Analyze"
"BVS","Bioventus Inc.","Health Care","US Equity","Common stocks","Micro cap","$79,546,764","8,952,021","Analyze"
"OPGN","Opgen Inc","Health Care","US Equity","Common stocks","Micro cap","$75,177,900","538,163","Analyze"
"AKU","Akumin Inc.","Health Care","US Equity","Common stocks","Micro cap","$71,849,210","35,720","Analyze"
"AWH","Aspira Womens Health Inc.","Health Care","US Equity","Common stocks","Micro cap","$52,192,799","164,476","Analyze"
"AXDX","Accelerate Diagnostics Inc","Health Care","US Equity","Common stocks","Micro cap","$48,558,745","499,433","Analyze"
"MDXH","MDxHealth SA ADRs","Health Care","US Equity","ADRs","Micro cap","$46,583,949","254,584","Analyze"
"CODX","Co-Diagnostics Inc.","Health Care","US Equity","Common stocks","Micro cap","$44,837,780","74,087","Analyze"
"XGN","Exagen Inc.","Health Care","US Equity","Common stocks","Micro cap","$37,857,816","17,508","Analyze"
"HTGM","Htg Molecular Diagnostics Inc","Health Care","US Equity","Common stocks","Micro cap","$37,017,326","102,263","Analyze"
"QTNT","Quotient Ltd","Health Care","US Equity","Common stocks","Micro cap","$35,622,372","5,811,488","Analyze"
"LMDX","LumiraDx Limited","Health Care","US Equity","Common stocks","Micro cap","$33,478,908","143,931","Analyze"
"BMRA","Biomerica Inc.","Health Care","US Equity","Common stocks","Micro cap","$32,280,472","14,041","Analyze"
"BWAY","Brainsway Ltd. ADRs","Information Technology","US Equity","ADRs","Micro cap","$30,601,305","22,524","Analyze"
"PMD","Psychemedics Corp","Health Care","US Equity","Common stocks","Micro cap","$28,449,268","8,139","Analyze"
"GENE","Genetic Technologies ADRs","Health Care","US Equity","ADRs","Micro cap","$21,159,706","295,255","Analyze"
"CNTG","Centogene N.V.","Health Care","US Equity","Common stocks","Micro cap","$18,136,467","8,948","Analyze"
"SLNO","Soleno Therapeutics Inc","Health Care","US Equity","Common stocks","Micro cap","$17,726,270","30,532","Analyze"
"ONVO","Organovo Holdings Inc","Health Care","US Equity","Common stocks","Micro cap","$17,080,596","49,068","Analyze"
"PRPO","Precipio, Inc.","Health Care","US Equity","Common stocks","Micro cap","$14,376,764","59,358","Analyze"
"CEMI","Chembio Diagnostics Inc","Health Care","US Equity","Common stocks","Micro cap","$14,132,762","464,076","Analyze"
"ISPC","iSpecimen Inc.","Health Care","US Equity","Common stocks","Micro cap","$11,451,029","10,343","Analyze"
"TRIB","Trinity Biotech PLC ADRs of Class A shares","Health Care","US Equity","ADRs","Micro cap","$10,388,076","26,816","Analyze"
"NDRA","Endra Life Sciences Inc.","Health Care","US Equity","Common stocks","Micro cap","$9,539,000","10,134","Analyze"
"SQL","SeqLL Inc.","Health Care","US Equity","Common stocks","Micro cap","$5,686,472","172,501","Analyze"
"BIOC","Biocept Inc","Health Care","US Equity","Common stocks","Micro cap","$5,117,631","165,417","Analyze"
"MOTS","Motus Gi Holdings Inc.","Health Care","US Equity","Common stocks","Micro cap","$2,427,138","30,010","Analyze"
"CO","Global Cord Blood Corporation","Consumer Staples","US Equity","Common stocks","Unknown","$0","9,284,888","Analyze"
