"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"SHCR","Sharecare, Inc. - Class A","Health Care","US Equity","Common stocks","Small cap","$774,208,802","600,115","Analyze"
"CNVY","Convey Holding Parent, Inc.","Health Care","US Equity","Common stocks","Small cap","$769,270,737","1,743,565","Analyze"
"HCAT","Health Catalyst, Inc","Health Care","US Equity","Common stocks","Small cap","$664,089,924","550,623","Analyze"
"NUTX","Nutex Health Inc.","Health Care","US Equity","Common stocks","Small cap","$643,440,475","2,291,698","Analyze"
"AMWL","American Well Corp","Health Care","US Equity","Common stocks","Small cap","$548,010,071","1,617,644","Analyze"
"GDRX","GoodRx Holdings, Inc.","Health Care","US Equity","Common stocks","Small cap","$538,221,586","2,185,369","Analyze"
"SLGC","SomaLogic, Inc. - Class A","Health Care","US Equity","Common stocks","Small cap","$410,935,497","971,253","Analyze"
"CPSI","Computer Programs And Systems Inc","Health Care","US Equity","Common stocks","Small cap","$410,768,782","115,080","Analyze"
"CMAX","CareMax, Inc. - Class A","Health Care","US Equity","Common stocks","Small cap","$323,977,819","1,673,672","Analyze"
"SOPH","Sophia Genetics SA","Health Care","US Equity","Common stocks","Micro cap","$283,901,992","271,104","Analyze"
"NH","Nanthealth Inc","Health Care","US Equity","Common stocks","Micro cap","$273,854,078","5,156","Analyze"
"HLTH","Cue Health Inc.","Health Care","US Equity","Common stocks","Micro cap","$272,508,340","283,882","Analyze"
"OPRX","Optimizerx Corporation","Health Care","US Equity","Common stocks","Micro cap","$239,914,361","702,024","Analyze"
"SY","So-Young International Inc. ADRs of Class A","Communication Services","US Equity","ADRs","Micro cap","$193,306,538","422,226","Analyze"
"BBLN","Babylon Holdings Limited Class A","Health Care","US Equity","Common stocks","Micro cap","$164,329,571","50,226","Analyze"
"TRHC","Tabula Rasa Healthcare Inc","Health Care","US Equity","Common stocks","Micro cap","$138,652,606","108,177","Analyze"
"SMFR","Sema4 Holdings Corp. - Class A","Health Care","US Equity","Common stocks","Micro cap","$118,227,253","4,716,424","Analyze"
"FORA","Forian Inc.","Health Care","US Equity","Common stocks","Micro cap","$102,504,760","32,677","Analyze"
"STRM","Streamline Health Solutions Inc","Health Care","US Equity","Common stocks","Micro cap","$97,033,669","60,921","Analyze"
"KERN","Akerna Corp.","Information Technology","US Equity","Common stocks","Micro cap","$62,739,830","70,402","Analyze"
"AUGX","Augmedix, Inc","Health Care","US Equity","Common stocks","Micro cap","$58,002,872","28,972","Analyze"
"MTBC","CareCloud, Inc","Health Care","US Equity","Common stocks","Micro cap","$47,639,251","66,971","Analyze"
"UTRS","Minerva Surgical, Inc","Health Care","US Equity","Common stocks","Micro cap","$39,876,836","270,441","Analyze"
"SNCE","Science 37 Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$35,404,036","2,210,405","Analyze"
"PEAR","Pear Therapeutics, Inc. - Class A","Health Care","US Equity","Common stocks","Micro cap","$34,812,128","2,314,904","Analyze"
"ICAD","Icad Inc","Health Care","US Equity","Common stocks","Micro cap","$32,427,437","111,501","Analyze"
"UPH","UpHealth, Inc.","Health Care","US Equity","Common stocks","Micro cap","$23,183,824","42,106","Analyze"
"ZCMD","Zhongchao Inc. - Class A","Health Care","US Equity","Common stocks","Micro cap","$22,968,401","5,562","Analyze"
"BEAT","Heartbeam, Inc.","Health Care","US Equity","Common stocks","Micro cap","$19,498,165","67,916","Analyze"
"HCTI","Healthcare Triangle, Inc.","Health Care","US Equity","Common stocks","Micro cap","$17,819,451","410,066","Analyze"
"ACON","Aclarion, Inc.","Health Care","US Equity","Common stocks","Micro cap","$6,478,675","25,847","Analyze"
"WORX","SCWorx Corp.","Health Care","US Equity","Common stocks","Micro cap","$4,189,352","21,595","Analyze"
