"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"USPH","U.S. Physical Therapy Inc","Health Care","US Equity","Common stocks","Small cap","$1,198,132,586","111,884","Analyze"
"MODV","ModivCare Inc.","Health Care","US Equity","Common stocks","Small cap","$1,161,920,049","124,827","Analyze"
"MD","Mednax Inc","Health Care","US Equity","Common stocks","Small cap","$1,155,818,706","860,626","Analyze"
"HCSG","Healthcare Services Inc","Industrials","US Equity","Common stocks","Small cap","$920,209,842","1,689,784","Analyze"
"DCGO","DocGo Inc.","Health Care","US Equity","Common stocks","Small cap","$894,896,481","1,003,108","Analyze"
"NHC","National Healthcare Corp","Health Care","US Equity","Common stocks","Small cap","$860,208,892","169,923","Analyze"
"INNV","InnovAge Holding Corp.","Health Care","US Equity","Common stocks","Small cap","$824,425,048","35,682","Analyze"
"HNGR","Hanger, Inc.","Health Care","US Equity","Common stocks","Small cap","$732,387,540","2,345,661","Analyze"
"CYH","Community Health Systems Inc","Health Care","US Equity","Common stocks","Small cap","$623,679,534","2,232,329","Analyze"
"BKD","Brookdale Senior Living Inc","Health Care","US Equity","Common stocks","Small cap","$439,923,154","2,081,441","Analyze"
"CMPS","COMPASS Pathways Plc ADRs","Health Care","US Equity","ADRs","Small cap","$429,728,484","265,701","Analyze"
"PNTG","The Pennant Group, Inc.","Health Care","US Equity","Common stocks","Small cap","$369,538,162","995,000","Analyze"
"SMTI","Sanara MedTech Inc.","Health Care","US Equity","Common stocks","Small cap","$325,523,730","18,288","Analyze"
"CANO","Cano Health, Inc. Class A","Health Care","US Equity","Common stocks","Micro cap","$290,592,110","8,368,351","Analyze"
"AIRS","Airsculpt Technologies, Inc.","Health Care","US Equity","Common stocks","Micro cap","$267,110,035","289,122","Analyze"
"JYNT","Joint Corp","Health Care","US Equity","Common stocks","Micro cap","$238,577,329","145,301","Analyze"
"AVAH","Aveanna Healthcare Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$187,717,757","408,471","Analyze"
"TALK","Talkspace, Inc.","Health Care","US Equity","Common stocks","Micro cap","$116,780,921","232,389","Analyze"
"IONM","Assure Holdings Corp.","Health Care","US Equity","Common stocks","Micro cap","$78,832,320","346,470","Analyze"
"SNDA","Sonida Senior Living, Inc.","Health Care","US Equity","Common stocks","Micro cap","$70,830,563","2,105","Analyze"
"ATIP","ATI Physical Therapy, Inc. Class A","Health Care","US Equity","Common stocks","Micro cap","$66,342,225","331,279","Analyze"
"TOI","The Oncology Institute, Inc.","Health Care","US Equity","Common stocks","Micro cap","$60,110,920","368,961","Analyze"
"ICCM","IceCure Medical Ltd.","Health Care","US Equity","Common stocks","Micro cap","$50,413,895","99,078","Analyze"
"FTRP","Field Trip Health Ltd.","Health Care","US Equity","Common stocks","Micro cap","$49,022,656","164,423","Analyze"
"AVCO","Avalon Globocare Corp.","Real Estate","US Equity","Common stocks","Micro cap","$44,646,844","440,351","Analyze"
"AIH","Aesthetic Medical International Holdings Group Ltd. ADRs","Health Care","US Equity","ADRs","Micro cap","$40,224,400","4,838","Analyze"
"ALR","AlerisLife Inc.","Health Care","US Equity","Common stocks","Micro cap","$39,386,592","236,551","Analyze"
"PIII","P3 Health Partners Inc. - Class A","Health Care","US Equity","Common stocks","Micro cap","$35,188,215","314,651","Analyze"
"CCM","Concord Medical Services ADRs","Health Care","US Equity","ADRs","Micro cap","$30,970,037","1,709","Analyze"
"SOS","SOS Limited ADRs of Class A","Industrials","US Equity","ADRs","Micro cap","$27,347,858","73,504","Analyze"
"IMAC","IMAC Holdings, Inc.","Health Care","US Equity","Common stocks","Micro cap","$26,750,019","263,413","Analyze"
"CCEL","Cryo-Cell International, Inc.","Health Care","US Equity","Common stocks","Micro cap","$26,353,278","19,069","Analyze"
"SLHG","Skylight Health Group Inc.","Health Care","US Equity","Common stocks","Micro cap","$26,143,714","127,279","Analyze"
"AMS","American Shared Hospital Services","Health Care","US Equity","Common stocks","Micro cap","$17,351,460","36,646","Analyze"
"NVOS","Novo Integrated Sciences Inc.","Health Care","US Equity","Common stocks","Micro cap","$16,033,455","48,751,981","Analyze"
"GBNH","Greenbrook TMS Inc.","Health Care","US Equity","Common stocks","Micro cap","$14,718,273","29,429","Analyze"
"OTRK","Ontrak, Inc.","Health Care","US Equity","Common stocks","Micro cap","$12,822,063","344,163","Analyze"
"SSY","Sunlink Health Systems, Inc.","Health Care","US Equity","Common stocks","Micro cap","$7,488,657","13,161","Analyze"
"RHE","Regional Health Properties, Inc","Health Care","US Equity","Common stocks","Micro cap","$6,174,484","12,767","Analyze"
